|Author|NumofBooks|Bestseller|NumofRatings_Bestseller
0|Georgi E. Shilov|1|Linear Algebra|139
1|David Poole|1|Linear Algebra : A Modern Introduction|99
2|Kuldeep Singh|1|Linear Algebra : Step by Step|55
3|Sheldon Axler|1|Linear Algebra Done Right|958
4|Shin Takahashi|1|The Manga Guide To Linear Algebra|244
5|Gilbert Strang|5|Introduction to Linear Algebra|571
6|MJ Sterling|1|Linear Algebra For Dummies|60
7|S B Kizlik|1|Linear Algebra|2
8|Serge Lang|2|Linear Algebra|96
9|Seymour Lipschutz|4|Schaum's Outline of Linear Algebra, Sixth Edition|285
10|Mike X Cohen|1|Linear Algebra : Theory, Intuition, Code|8
11|Ivan Savov|1|No Bullshit Guide to Linear Algebra|67
12|Stephen Friedberg|2|Linear Algebra : Pearson New International Edition|288
13|Lloyd N. Trefethen|1|Numerical Linear Algebra|116
14|Martin Anthony|1|Linear Algebra: Concepts and Methods|16
15|Jim Hefferon|1|Linear Algebra|31
16|Stephen Boyd|1|Introduction to Applied Linear Algebra : Vectors, Matrices, and Least Squares|29
17|T.S. Blyth|2|Basic Linear Algebra|21
18|Hans Schneider|1|Matrices and Linear Algebra|35
19|I.M. Gelfand|1|Lectures on Linear Algebra|18
20|Elizabeth S. Meckes|1|Linear Algebra|5
21|John W. Dettman|1|Introduction to Linear Algebra and Differential Equations|21
22|David McMahon|1|Linear Algebra Demystified|33
23|Charu C. Aggarwal|1|Linear Algebra and Optimization for Machine Learning : A Textbook|8
24|Steven Roman|1|Advanced Linear Algebra|24
25|Joerg Liesen|1|Linear Algebra|0
26|Sterling K. Berberian|1|Linear Algebra|2
27|Philip N Klein|1|Coding the Matrix : Linear Algebra through Applications to Computer Science|121
28|Stephan Ramon Garcia|1|A Second Course in Linear Algebra|3
29|Richard Bronson|1|Linear Algebra : Algorithms, Applications, and Techniques|10
30|Richard Kaye|1|Linear Algebra|15
31|Howard Anton|1|Elementary Linear Algebra : Applications Version|0
32|Thomas Nield|1|Essential Math for Data Science : Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics|0
33|K. A. Stroud|1|Linear Algebra|17
34|Reg Allenby|1|Linear Algebra|5
35|Eric Darve|1|Numerical Linear Algebra with Julia|0
36|Peter Petersen|1|Linear Algebra|2
37|Irving Kaplansky|1|Linear Algebra and Geometry:A Secon : A Second Course|1
