|ISBN_13|Title|Author|Publisher|Rating|NumofRatings|PublicationDate|Price_KRW|PageNum
0|9780691010182|Econometrics|Fumio Hayashi|Princeton University Press|4.08|108|2000-11-19|93988|712
1|9780691120355|Mostly Harmless Econometrics : An Empiricist's Companion|Joshua Angrist|Princeton University Press|4.15|855|2011-02-21|33544|392
2|9781405182577|A Guide to Econometrics|Peter Kennedy|John Wiley and Sons Ltd|4.17|291|2008-05-16|48212|598
3|9781118533840|Econometrics For Dummies|R Pedace|John Wiley & Sons Inc|3.82|50|2013-07-09|31251|368
4|9781337558860|Introductory Econometrics : A Modern Approach|Jeffrey Wooldridge|Cengage Learning, Inc|4.08|651|2019-04-11|119678|816
5|9780262232586|Econometric Analysis of Cross Section and Panel Data|Jeffrey M. Wooldridge|MIT Press Ltd|4.3|146|2010-10-01|96700|1096
6|9781108436823|Introductory Econometrics for Finance|Chris Brooks|Cambridge University Press|3.95|73|2020-02-21|86123|724
7|9780071755474|Schaum's Outline of Statistics and Econometrics, Second Edition|Dominick Salvatore|McGraw-Hill Education - Europe|4.17|69|2011-03-24|30384|336
8|9780691043012|The Econometrics of Financial Markets|John Y. Campbell|Princeton University Press|3.98|52|1996-12-29|88426|632
9|9780199676828|Introduction to Econometrics|Christopher Dougherty|Oxford University Press|3.75|55|2016-06-28|105808|608
10|9783030801489|Econometrics|Badi H. Baltagi|Springer Nature Switzerland AG|0.0|0|2022-02-23|80116|485
11|9781137375018|Econometrics by Example|Damodar Gujarati|Bloomsbury Publishing PLC|4.46|56|2014-12-04|90141|504
12|9781292264455|Introduction to Econometrics, Global Edition|James Stock|Pearson Education Limited|3.53|209|2019-05-13|84702|800
13|9781119510567|Principles of Econometrics|R. Carter Hill|John Wiley & Sons Inc|3.77|70|2018-02-23|82166|904
14|9780470845677|Bayesian Econometrics|Gary Koop|John Wiley & Sons Inc|4.47|15|2003-07-16|76638|376
15|9781523285136|Using R for Introductory Econometrics|Florian Heiss|Createspace Independent Publishing Platform|4.53|17|2016-02-05|33067|356
16|9780691235899|Econometrics|Bruce Hansen|Princeton University Press|3.25|4|2022-10-11|195349|1080
17|9780071348522|Schaum's Outline of Statistics and Econometrics|Dominick Salvatore|McGraw-Hill Education - Europe|4.17|69|2001-11-16|35536|336
18|9780674462250|Introduction to Statistics and Econometrics|Takeshi Amemiya|Harvard University Press|4.17|6|2021-01-07|113270|384
19|9780170350839|Introductory Econometrics: Asia Pacific Edition with Online Study Tools 12 months|Jeffrey M. Wooldridge|Cengage Learning Australia|0.0|0|2016-10-24|163538|0
20|9781408093757|Introduction to Econometrics : EMEA Edition|Jeffrey Wooldridge|Cengage Learning EMEA|4.08|657|2013-12-06|114344|912
21|9780387773162|Applied Econometrics with R|Christian Kleiber|Springer-Verlag New York Inc.|3.69|13|2008-09-01|107871|222
22|9798648436763|Using Python for Introductory Econometrics|Daniel Brunner|Independently Published|0.0|0|2020-05-25|35361|430
24|9781119472117|A Guide to Modern Econometrics 5th Edition|M Verbeek|John Wiley & Sons Inc|3.67|45|2017-10-30|72672|520
25|9781846191718|Applied Econometrics for Health Economists : A Practical Guide|Andrew Jones|Taylor & Francis Ltd|4.0|1|2007-06-01|47617|128
26|9780691121611|Nonparametric Econometrics : Theory and Practice|Qi Li|Princeton University Press|4.5|4|2007-01-01|169662|768
27|9781405117203|Introduction to Modern Bayesian Econometrics|Tony Lancaster|John Wiley and Sons Ltd|3.54|13|2004-06-25|56254|416
28|9780077104283|Econometrics|Samuel Cameron|McGraw-Hill Education - Europe|0.0|0|2005-02-16|83092|480
29|9780521547871|Applied Time Series Econometrics|Helmut Lutkepohl|Cambridge University Press|4.33|15|2004-08-04|54017|352
31|9781292231136|Econometric Analysis, Global Edition|William Greene|Pearson Education Limited|4.06|343|2020-01-06|100669|1168
32|9780674175440|A Course in Econometrics|Arthur S. Goldberger|Harvard University Press|3.83|24|1991-07-02|115515|432
33|9780262034906|A Primer in Econometric Theory|John Stachurski|MIT Press Ltd|4.4|5|2016-08-05|72885|448
