|ISBN_13|Title|Author|Publisher|Rating|NumofRatings|PublicationDate|Price_KRW|PageNum
0|9780486635187|Linear Algebra|Georgi E. Shilov|Dover Publications Inc.|4.0|139|1978-03-01|22110|387
1|9781285463247|Linear Algebra : A Modern Introduction|David Poole|Cengage Learning, Inc|3.83|99|2014-01-08|126360|720
2|9780199654444|Linear Algebra : Step by Step|Kuldeep Singh|Oxford University Press|4.33|55|2013-12-31|51250|616
3|9783319307657|Linear Algebra Done Right|Sheldon Axler|Springer International Publishing AG|4.35|958|2021-12-01|59156|340
5|9781593274139|The Manga Guide To Linear Algebra|Shin Takahashi|No Starch Press,US|4.01|244|2012-06-26|29117|264
6|9780692196380|Linear Algebra and Learning from Data|Gilbert Strang|Wellesley-Cambridge Press,U.S.|4.31|29|2019-04-16|90000|446
7|9780470430903|Linear Algebra For Dummies|MJ Sterling|John Wiley & Sons Inc|3.63|60|2009-07-07|24291|384
8|9781572228672|Linear Algebra|S B Kizlik|Barcharts, Inc|3.0|2|2005-01-18|12042|6
9|9781441930811|Linear Algebra|Serge Lang|Springer-Verlag New York Inc.|3.85|96|2010-12-01|69071|285
10|9781260011449|Schaum's Outline of Linear Algebra, Sixth Edition|Seymour Lipschutz|McGraw-Hill Education|3.93|285|2018-01-01|29169|432
11|9789083136608|Linear Algebra : Theory, Intuition, Code|Mike X Cohen|Sincxpress Bv|4.5|8|2021-02-01|54389|590
12|9780980232790|Differential Equations and Linear Algebra|Gilbert Strang|Wellesley-Cambridge Press,U.S.|4.0|18|2015-07-10|58500|510
13|9781733146654|Introduction to Linear Algebra|Gilbert Strang|Wellesley-Cambridge Press,U.S.|4.23|571|2021-07-31|113270|584
14|9780070380233|3,000 Solved Problems in Linear Algebra|Seymour Lipschutz|McGraw-Hill Education - Europe|3.8|183|1989-04-01|42210|496
15|9780992001025|No Bullshit Guide to Linear Algebra|Ivan Savov|Minireference Co.|4.61|67|2020-10-25|37223|596
16|9781292026503|Linear Algebra : Pearson New International Edition|Stephen Friedberg|Pearson Education Limited|4.11|288|2013-07-23|112864|536
17|9780898713619|Numerical Linear Algebra|Lloyd N. Trefethen|Society for Industrial & Applied Mathematics,U.S.|4.22|116|2016-12-16|107975|184
18|9780521279482|Linear Algebra: Concepts and Methods|Martin Anthony|Cambridge University Press|3.5|16|2012-06-30|66585|527
19|9781944325039|Linear Algebra|Jim Hefferon|Orthogonal Publishing L3c|3.9|31|2017-01-01|53581|508
20|9781316518960|Introduction to Applied Linear Algebra : Vectors, Matrices, and Least Squares|Stephen Boyd|Cambridge University Press|4.21|29|2020-02-21|64866|474
21|9781852336622|Basic Linear Algebra|T.S. Blyth|Springer London Ltd|3.9|21|2002-09-01|52397|232
22|9781733146630|Linear Algebra for Everyone|Gilbert Strang|Wellesley-Cambridge Press,U.S.|4.0|2|2020-11-26|77257|368
23|9780486660141|Matrices and Linear Algebra|Hans Schneider|Dover Publications Inc.|3.46|35|1989-11-01|50152|432
24|9780486660820|Lectures on Linear Algebra|I.M. Gelfand|Dover Publications Inc.|4.56|18|1990-08-02|20084|185
25|9781107177901|Linear Algebra|Elizabeth S. Meckes|Cambridge University Press|4.2|5|2019-03-08|81678|442
27|9780486651910|Introduction to Linear Algebra and Differential Equations|John W. Dettman|Dover Publications Inc.|3.48|21|1987-05-26|26110|416
28|9780071465793|Linear Algebra Demystified|David McMahon|McGraw-Hill Education - Europe|3.42|33|2005-12-16|34289|255
29|9783030403430|Linear Algebra and Optimization for Machine Learning : A Textbook|Charu C. Aggarwal|Springer Nature Switzerland AG|5.0|8|2020-05-13|94866|495
30|9780387728285|Advanced Linear Algebra|Steven Roman|Springer-Verlag New York Inc.|4.12|24|2007-11-01|91792|525
31|9783319243443|Linear Algebra|Joerg Liesen|Springer International Publishing AG|0.0|0|2015-11-28|73527|324
32|9780134860244|Linear Algebra|Stephen Friedberg|Pearson Education (US)|4.11|288|2018-09-17|364742|608
33|9780486780559|Linear Algebra|Sterling K. Berberian|Dover Publications Inc.|5.0|2|2014-08-29|27002|384
34|9780615880990|Coding the Matrix : Linear Algebra through Applications to Computer Science|Philip N Klein|Newtonian Press|4.17|121|2013-09-03|50690|550
35|9781107103818|A Second Course in Linear Algebra|Stephan Ramon Garcia|Cambridge University Press|4.33|3|2019-03-22|103376|442
36|9780123914200|Linear Algebra : Algorithms, Applications, and Techniques|Richard Bronson|Elsevier Science Publishing Co Inc|4.4|10|2013-11-27|139934|536
37|9780198502371|Linear Algebra|Richard Kaye|Oxford University Press|4.07|15|1998-04-09|72137|242
38|9781119666141|Elementary Linear Algebra : Applications Version|Howard Anton|John Wiley & Sons Inc|0.0|0|2019-12-05|93260|816
39|9781098102937|Essential Math for Data Science : Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics|Thomas Nield|O'Reilly Media|0.0|0|2022-07-05|51871|350
40|9780070380370|Schaum's Outline of Beginning Linear Algebra|Seymour Lipschutz|McGraw-Hill Education - Europe|4.1|10|1996-08-22|43187|480
41|9780831131883|Linear Algebra|K. A. Stroud|Industrial Press Inc.,U.S.|4.59|17|2008-08-01|81595|259
42|9780340610442|Linear Algebra|Reg Allenby|Elsevier Science & Technology|3.6|5|1995-01-05|69341|240
43|9781852334253|Further Linear Algebra|T.S. Blyth|Springer London Ltd|3.75|8|2001-12-01|42830|230
44|9781611976540|Numerical Linear Algebra with Julia|Eric Darve|Society for Industrial & Applied Mathematics,U.S.|0.0|0|2021-06-01|130634|277
45|9780071777483|Schaums Easy Outline of Linear Algebra Revised|Seymour Lipschutz|McGraw-Hill Education - Europe|3.93|285|2011-11-16|18963|160
46|9781461436119|Linear Algebra|Peter Petersen|Springer-Verlag New York Inc.|3.5|2|2012-05-29|83893|390
47|9780387962054|Introduction to Linear Algebra|Serge Lang|Springer-Verlag New York Inc.|4.26|46|1997-03-14|69793|293
48|9780980232769|Essays in Linear Algebra|Gilbert Strang|Wellesley-Cambridge Press,U.S.|4.43|7|2012-04-26|63976|340
49|9780486432335|Linear Algebra and Geometry:A Secon : A Second Course|Irving Kaplansky|Dover Publications Inc.|3.0|1|2003-09-01|18360|176
