|Publisher|NumofBooks|Bestseller|NumofRatings_Bestseller
0|Princeton University Press|7|Mostly Harmless Econometrics : An Empiricist's Companion|855
1|John Wiley and Sons Ltd|2|A Guide to Econometrics|291
2|John Wiley & Sons Inc|15|Applied Econometric Times Series 4e|88
3|Cengage Learning, Inc|1|Introductory Econometrics : A Modern Approach|651
4|MIT Press Ltd|3|Econometric Analysis of Cross Section and Panel Data|146
5|Cambridge University Press|12|Introductory Econometrics for Finance|73
6|McGraw-Hill Education - Europe|3|Schaum's Outline of Statistics and Econometrics, Second Edition|69
7|Oxford University Press|9|Neural Networks for Pattern Recognition|166
8|Springer Nature Switzerland AG|2|Econometrics|0
9|Bloomsbury Publishing PLC|3|Econometrics by Example|56
10|Pearson Education Limited|2|Econometric Analysis, Global Edition|343
11|Createspace Independent Publishing Platform|3|Using R for Introductory Econometrics|17
12|Harvard University Press|3|A Course in Econometrics|24
13|Cengage Learning Australia|1|Introductory Econometrics: Asia Pacific Edition with Online Study Tools 12 months|0
14|Cengage Learning EMEA|1|Introduction to Econometrics : EMEA Edition|657
15|Springer-Verlag New York Inc.|3|Applied Econometrics with R|13
16|Independently Published|1|Using Python for Introductory Econometrics|0
17|Taylor & Francis Ltd|7|Introduction to Spatial Econometrics|6
18|Oxford University Press Inc|3|Empirical Market Microstructure : The Institutions, Economics, and Econometrics of Securities Trading|34
19|Geoda Press LLC|1|Modern Spatial Econometrics in Practice : A Guide to GeoDa, GeoDaSpace and PySAL|8
20|SAGE Publications India Pvt Ltd|1|Principles of Econometrics : An Introduction (Using R)|2
21|Stata Press|1|Environmental Econometrics Using Stata|1
22|Edward Elgar Publishing Ltd|1|Putting Econometrics in its Place : A New Direction in Applied Economics|3
23|Springer-Verlag Berlin and Heidelberg GmbH & Co. KG|1|Spatial Econometrics : From Cross-Sectional Data to Spatial Panels|2
24|World Scientific Publishing Co Pte Ltd|1|Dynamic Econometrics For Empirical Macroeconomic Modelling|0
25|Nova Science Publishers Inc|1|Econometrics : New Research|0
26|Palgrave Macmillan|1|Econometrics|0
27|Literary Licensing, LLC|1|Econometrics|0
28|Pearson Education (US)|1|Econometrics|0
29|LAP LAMBERT Academic Publishing|1|Econometrics|0
30|Taylor & Francis Inc|1|Mathematical Statistics for Applied Econometrics|1
