|Publisher|NumofBooks|Bestseller|NumofRatings_Bestseller
0|Dover Publications Inc.|6|Linear Algebra|139
1|Cengage Learning, Inc|1|Linear Algebra : A Modern Introduction|99
2|Oxford University Press|2|Linear Algebra : Step by Step|55
3|Springer International Publishing AG|2|Linear Algebra Done Right|958
4|No Starch Press,US|1|The Manga Guide To Linear Algebra|244
5|Wellesley-Cambridge Press,U.S.|5|Introduction to Linear Algebra|571
6|John Wiley & Sons Inc|2|Linear Algebra For Dummies|60
7|Barcharts, Inc|1|Linear Algebra|2
8|Springer-Verlag New York Inc.|4|Linear Algebra|96
9|McGraw-Hill Education|1|Schaum's Outline of Linear Algebra, Sixth Edition|285
10|Sincxpress Bv|1|Linear Algebra : Theory, Intuition, Code|8
11|McGraw-Hill Education - Europe|4|Schaums Easy Outline of Linear Algebra Revised|285
12|Minireference Co.|1|No Bullshit Guide to Linear Algebra|67
13|Pearson Education Limited|1|Linear Algebra : Pearson New International Edition|288
14|Society for Industrial & Applied Mathematics,U.S.|2|Numerical Linear Algebra|116
15|Cambridge University Press|4|Introduction to Applied Linear Algebra : Vectors, Matrices, and Least Squares|29
16|Orthogonal Publishing L3c|1|Linear Algebra|31
17|Springer London Ltd|2|Basic Linear Algebra|21
18|Springer Nature Switzerland AG|1|Linear Algebra and Optimization for Machine Learning : A Textbook|8
19|Pearson Education (US)|1|Linear Algebra|288
20|Newtonian Press|1|Coding the Matrix : Linear Algebra through Applications to Computer Science|121
21|Elsevier Science Publishing Co Inc|1|Linear Algebra : Algorithms, Applications, and Techniques|10
22|O'Reilly Media|1|Essential Math for Data Science : Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics|0
23|Industrial Press Inc.,U.S.|1|Linear Algebra|17
24|Elsevier Science & Technology|1|Linear Algebra|5
