nation,year,ecperpop,gdpperpop,eprice,hdd,accrndperpop
1,1985,4.815150711,14859.21509,27.57,6272.72,72.91187128
1,1986,5.023807656,15718.20017,14.3,5977.18,77.11036738
1,1987,5.04835911,16311.02872,18.55,6144.35,76.24694492
1,1988,4.816974222,16755.26728,13.89,5721.44,83.50173091
1,1989,4.984020238,17517.99727,17.82,5292.45,92.14289882
1,1990,4.966903031,18463.77087,18.46,5196.17,99.6401433
1,1991,5.104959526,19579.98099,19.78,5504.97,109.5354933
1,1992,5.159578079,20625.87159,19.07,5485.84,121.6795011
1,1993,5.460595401,21584.5911,16.11,5795.22,132.1529293
1,1994,5.315206749,23026.47263,14.44,5807.65,132.8119153
1,1995,5.39137229,24362.69458,16.41,5763.87,124.4446935
1,1996,5.201834416,26827.75449,21.62,5956,116.626327
1,1997,5.475172514,28609.60726,16.71,5534.67,109.3266387
1,1998,5.684801753,28202.23613,12.23,5783.77,102.4205376
1,1999,5.913380241,30573.13734,17.46,5563.16,96.0491595
1,2000,5.826131665,36988.65878,28.91,5334.5,90.68817173
1,2001,5.954919494,37827.47076,23.43,5760.83,85.67070334
1,2002,5.502013262,38057.57549,24.46,5474.51,81.72044506
1,2003,5.934688849,38683.29565,30.41,5387.57,78.35765093
1,2004,6.232048588,42671.12953,39.2,5431.36,74.88739031
1,2005,6.319954197,47969.88536,53.08,5365.38,73.12233835
1,2006,6.319259043,54362.23635,58.83,5228.96,70.76675738
1,2007,5.864320485,56177.47985,70.16,5404.05,71.47311709
1,2008,6.741306757,62075.51376,80.22,5450.1,71.91072834
1,2009,6.527822303,55617.6798,69.08,5527.4,92.04516241
1,2010,6.705727848,58229.71303,81.06,6205.66,122.7760463
1,2011,5.616293186,62461.20278,111.18,5198.76,150.3277047
1,2012,6.171673467,65768.75327,108.23,5783.7,179.0525716
1,2013,6.455097673,67372.92818,109.07,5492.84,248.5316919
2,1985,4.185036755,14386.0404,27.62,3416.11,9.345780814
2,1986,4.317924168,15002.96299,14.38,3330.68,10.90472741
2,1987,4.388328512,15567.20689,17.6,3381.93,12.33295231
2,1988,4.32165328,16562.49704,14.58,2772.12,13.44071201
2,1989,4.324426325,17868.49793,17.56,2620.05,14.6048641
2,1990,4.488710505,19182.31593,21.83,2582.06,16.33373176
